plot_id	period	number_of_tree_species	number_of_trees_ha	stem_number_ha	basal_area_alive_m2_ha	stems_per_tree	basal_area_dead_m2_ha	vol_alive_m3_ha	vol_dead_standing_m3_ha	vol_bole_alive_m3_ha	vol_bole_dead_m3_ha	vol_log_m3_ha	vol_deadw_m3_ha	year	survey_deadw
200	1	3	429.718346348117	429.718346348117	26.88390625	1	2.25375	227.694953863899	15.2017128210853	221.232970384178	14.9066381550187	20.1251266384759	35.3268394595611	1999	1
204	1	2	429.718346348117	429.718346348117	30.25875	1	1.455	249.868260516188	10.003010700685	245.408560249699	9.77335341911787	19.3087095268974	29.3117202275824	1999	1
205	1	3	708.239496758934	708.239496758934	38.594375	1	2.97	315.626375268846	18.4163927820214	307.076245907917	18.1209437618655	11.5921616885584	30.0085544705798	1999	1
206	1	3	493.380323584876	493.380323584876	33.489375	1	2.16875	277.562893945925	13.4697562975285	271.803867245431	13.2019298534282	10.7908563388264	24.2606126363549	1999	1
207	1	5	485.422576430281	485.422576430281	38.7225	1	2.695	326.245384887298	19.5979103682814	319.244710216445	19.0980574082798	7.64235776161671	27.2402681298981	1999	1
209	1	1	63.6619772367581	63.6619772367581	3.876875	1	13.935625	31.3277806801932	100.270257268066	30.7740287476451	98.1868857274506	26.3293921653028	126.599649433368	1999	1
210	1	1	143.239448782706	143.239448782706	7.646875	1	6.601875	60.9784169233744	49.3176979589044	59.8271205881494	48.3729196336061	1.37052300370008	50.6882209626045	1999	1
211	1	3	358.098621956764	358.098621956764	12.04875	1	8.861875	91.8448703847301	63.1198648796399	89.4977451686673	61.7353905798145	6.63715105654261	69.7570159361825	1999	1
212	1	1	302.394391874601	302.394391874601	11.995625	1	5.410625	91.8266103986884	35.514519571821	90.0221491981515	34.8146758325655	4.59232038995078	40.1068399617718	1999	1
213	1	2	533.169059357849	533.169059357849	20.798125	1	0.995625	159.639143227363	5.54100639486713	156.405063061862	5.44107513957479	1.20106277804299	6.74206917291012	1999	1
214	1	2	740.070485377313	740.070485377313	35.438125	1	2.418125	278.274480128673	15.798277396572	273.154908103671	15.4502800181862	5.56730357133174	21.3655809679037	1999	1
215	1	2	541.126806512444	541.126806512444	32.4996875	1	2.65	262.725189804316	17.1465257214548	258.284032010835	16.6934585329059	10.7132921773106	27.8598178987654	1999	1
216	1	2	684.36625529515	684.36625529515	40.13625	1	3.535	323.97470944157	25.3629659088406	317.917627430376	24.7775585719649	20.7015778846075	46.0645437934481	1999	1
217	1	2	835.56345123245	835.56345123245	23.41875	1	0.85125	175.382472099851	5.17091953620991	171.355721125834	5.17091953620991	0	5.17091953620991	1999	1
