ID	Value1	Value2	Value3	OrderField	Active
1	< 1 %	0,005	NA	NA	1
2	< 1 % (1 - 3 )	0,005	NA	NA	1
3	< 1 % (3 - 20)	0,005	NA	NA	1
4	< 1 % (20 - 100)	0,005	NA	NA	1
5	< 1 % (> 100)	0,005	NA	NA	1
6	1 - 3 %	0,02	NA	NA	1
7	3 - 5 %	0,04	NA	NA	1
8	5 - 10 %	0,075	NA	NA	1
9	10 - 15 %	0,125	NA	NA	1
10	15 - 25 %	0,20	NA	NA	1
11	25 - 35 %	0,30	NA	NA	1
12	35 - 45 %	0,40	NA	NA	1
13	45 - 55 %	0,50	NA	NA	1
14	55 - 65 %	0,60	NA	NA	1
15	65 - 75 %	0,70	NA	NA	1
16	75 - 85 %	0,80	NA	NA	1
17	85 - 95 %	0,90	NA	NA	1
18	95 - 100%	0,975	NA	NA	1
