ID	Value1	Value2	Value3	OrderField	Active
1	Amandelwilg	Salix triandra L.	NA	NA	0
2	Amerikaans krentenboompje	Amelanchier lamarckii F.G. Schroed	NA	NA	0
3	Amerikaanse eik	Quercus rubra L.	NA	NA	1
4	Amerikaanse vogelkers	Prunus serotina Ehrh.	NA	NA	1
5	Appel (wild + gekweekt)	Malus species	NA	NA	1
6	Berk	Betula tremula/alba	NA	NA	1
7	Beuk	Fagus sylvatica L.	NA	NA	1
8	Bittere wilg	Salix purpurea L.	NA	NA	0
9	Boskers	Prunus avium (L.) L.	NA	NA	1
10	Cornus sericea L.	Cornus sericea L.	NA	NA	0
11	Corsicaanse den	Pinus nigra	NA	NA	1
12	Douglas	Pseudotsuga menziesii	NA	NA	1
13	Eenstijlige meidoorn	Crataegus monogyna Jacq.	NA	NA	1
14	Es (gewone)	Fraxinus excelsior L.	NA	NA	1
15	Es/Esdoorn	F. excelsior/A. pseudoplatanus	NA	NA	0
16	Esdoorn (gewone)	Acer pseudoplatanus L.	NA	NA	1
17	Europese lork	Larix deciduas	NA	NA	1
18	Fijnspar	Picea abies	NA	NA	0
19	Fladderiep	Ulmus laevis Pallas	NA	NA	0
20	Gelderse roos	Viburnum opulus L.	NA	NA	1
21	Gele kornoelje	Cornus mas	NA	NA	0
22	Geoorde wilg	Salix aurita L.	NA	NA	0
23	Gladde iep	Ulmus minor Mill.	NA	NA	1
24	Grauwe abeel	Populus canescens	NA	NA	1
25	Grauwe wilg	Salix 'cinerea' groep	NA	NA	0
26	Grove den	Pinus sylvestris L.	NA	NA	1
27	Haagbeuk	Carpinus betulus L.	NA	NA	1
28	Hazelaar	Corylus avellana L.	NA	NA	1
29	Hemelboom	Aillanthus altissima (Mill.) Swing	NA	NA	0
30	Hopboom	Ptelea trifoliata L.	NA	NA	0
31	Hulst	Ilex aquifolium L.	NA	NA	1
32	Japanse lork	Larix kaempferi	NA	NA	1
33	Jeneverbes	Juniperus communis	NA	NA	0
34	Katwilg	Salix viminalis L.	NA	NA	0
35	Koraalmeidoorn	Crataegus rhipidophylla Gandoger	NA	NA	0
36	Kraakwilg	Salix 'fragilis' groep	NA	NA	0
37	Kruidvlier	Sambucus ebulus L.	NA	NA	0
38	Kruipwilg	Salix repens L.	NA	NA	0
39	Lijsterbes	Sorbus aucuparia L.	NA	NA	1
40	Lork species	Larix species	NA	NA	1
41	Meidoorn species	Crataegus species	NA	NA	1
42	Mispel	Mespilus germanica L.	NA	NA	0
43	Moeraseik	Quercus palustris L.	NA	NA	1
44	Noorse esdoorn	Acer platanoides L.	NA	NA	0
45	Okkernoot	Juglans regia	NA	NA	0
46	Onbekend loofhout	Hardwood species	NA	NA	1
47	Onbekend naaldhout	Softwood species	NA	NA	0
48	Onbekende boomsoort	Unknown species	NA	NA	1
49	Oosterse karmozijnbes	Phytolacca esculenta Van Houtte	NA	NA	0
50	Paardekastanje	Aesculus hippocastanum	NA	NA	1
51	Populier species	Populus species	NA	NA	1
52	Ratelpopulier	Populus tremula L.	NA	NA	1
53	Robinia (gewone)	Robinia pseudoacacia L.	NA	NA	1
54	Rode kornoelje	Cornus sanguinea L.	NA	NA	1
55	Rood peperboompje	Daphne mezereum L.	NA	NA	0
56	Rossige wilg	Salix atrocinerea Brot.	NA	NA	0
57	Ruwe berk	Betula pendula Roth	NA	NA	1
58	Ruwe iep	Ulmus glabra Huds.	NA	NA	0
59	Sleedoorn	Prunus spinosa L.	NA	NA	0
60	Sneeuwbes	Symphoricarpos albus (L.) S.F. Bla	NA	NA	0
61	Spaanse aak	Acer campestre L.	NA	NA	1
62	Spaanse ruiter	Cirsium dissectum	NA	NA	0
63	Sporkehout	Frangula alnus Mill.	NA	NA	1
64	Tamme kastanje	Castanea sativa Mill.	NA	NA	1
65	Taxus	Taxus baccata L.	NA	NA	0
66	Trosvlier	Sambucus racemosa L.	NA	NA	0
67	Tweestijlige meidoorn	Crataegus laevigata (Poiret) DC.	NA	NA	0
68	Vederesdoorn	Acer negundo L.	NA	NA	0
69	Vlier	Sambucus nigra L.	NA	NA	1
