plot_id	year	period	number_of_tree_species	min_number_of_trees_ha	max_number_of_trees_ha	rubbing_damage_perc
101	2002	1	6	49200.4910496427	49200.4910496427	NA
102	2002	1	3	7702.31329531148	7702.31329531148	NA
103	2002	1	2	5344.46228654266	5344.46228654266	NA
104	2002	1	3	52658.6725291703	52658.6725291703	NA
105	2002	1	3	46056.6897046176	46056.6897046176	NA
106	2002	1	4	7073.55302630646	7073.55302630646	NA
107	2002	1	2	28294.2121052258	28294.2121052258	NA
108	2002	1	2	42126.9380233363	42126.9380233363	NA
109	2002	1	3	14618.6762543667	14618.6762543667	NA
110	2002	1	3	66177.0183127782	66177.0183127782	NA
111	2002	1	1	1257.52053801004	1257.52053801004	NA
113	2002	1	3	3143.80134502509	3143.80134502509	NA
114	2002	1	1	2357.85100876882	2357.85100876882	NA
115	2002	1	2	13203.9656491054	13203.9656491054	NA
116	2002	1	3	3772.56161403011	3772.56161403011	NA
117	2002	1	7	22635.3696841807	22635.3696841807	NA
118	2002	1	4	8802.64376607026	8802.64376607026	NA
119	2002	1	2	63033.2169677531	63033.2169677531	NA
120	2002	1	3	63033.2169677531	63033.2169677531	NA
121	2002	1	2	4401.32188303513	4401.32188303513	NA
123	2002	1	3	20906.2789444169	20906.2789444169	NA
124	2002	1	2	63504.7871695069	63504.7871695069	NA
125	2002	1	5	3929.75168128137	3929.75168128137	NA
126	2002	1	1	628.760269005019	628.760269005019	NA
127	2002	1	3	3458.1814795276	3458.1814795276	NA
128	2002	1	3	18862.8080701506	18862.8080701506	NA
129	2002	1	1	17762.4775993918	17762.4775993918	NA
131	2002	1	1	2515.04107602007	2515.04107602007	NA
132	2002	1	4	13518.3457836079	13518.3457836079	NA
133	2002	1	1	1886.28080701506	1886.28080701506	NA
134	2002	1	1	5187.2722192914	5187.2722192914	NA
136	2002	1	3	69006.4395233008	69006.4395233008	NA
137	2002	1	1	5030.08215204015	5030.08215204015	NA
138	2002	1	2	15090.2464561204	15090.2464561204	NA
139	2002	1	4	63661.9772367581	63661.9772367581	NA
140	2002	1	1	1886.28080701506	1886.28080701506	NA
141	2002	1	1	5030.08215204015	5030.08215204015	NA
142	2002	1	3	1729.0907397638	1729.0907397638	NA
143	2002	1	1	5658.84242104517	5658.84242104517	NA
144	2002	1	3	1729.0907397638	1729.0907397638	NA
145	2002	1	3	41340.98768708	41340.98768708	NA
146	2002	1	1	27036.6915672158	27036.6915672158	NA
147	2002	1	5	3615.37154677886	3615.37154677886	NA
401	2003	1	1	157.190067251255	157.190067251255	NA
402	2003	1	3	20906.2789444169	20906.2789444169	NA
403	2003	1	3	1886.28080701506	1886.28080701506	NA
404	2003	1	3	26407.9312982108	26407.9312982108	NA
405	2003	1	2	48728.9208478889	48728.9208478889	NA
406	2003	1	4	2357.85100876882	2357.85100876882	NA
409	2003	1	2	4401.32188303513	4401.32188303513	NA
410	2003	1	2	2515.04107602007	2515.04107602007	NA
414	2003	1	1	157.190067251255	157.190067251255	NA
415	2003	1	2	2515.04107602007	2515.04107602007	NA
416	2003	1	1	628.760269005019	628.760269005019	NA
417	2003	1	2	1257.52053801004	1257.52053801004	NA
418	2003	1	7	7230.74309355771	7230.74309355771	NA
419	2003	1	1	1257.52053801004	1257.52053801004	NA
420	2003	1	3	18234.0478011455	18234.0478011455	NA
423	2003	1	1	157.190067251255	157.190067251255	NA
427	2003	1	1	44013.2188303513	44013.2188303513	NA
428	2003	1	1	1886.28080701506	1886.28080701506	NA
431	2003	1	1	1257.52053801004	1257.52053801004	NA
439	2003	1	1	33324.294257266	33324.294257266	NA
443	2003	1	1	628.760269005019	628.760269005019	NA
445	2003	1	2	1257.52053801004	1257.52053801004	NA
446	2003	1	2	1257.52053801004	1257.52053801004	NA
448	2003	1	3	10217.3543713316	10217.3543713316	NA
449	2003	1	2	22320.9895496782	22320.9895496782	NA
454	2003	1	2	2515.04107602007	2515.04107602007	NA
456	2003	1	1	1257.52053801004	1257.52053801004	NA
457	2003	1	1	157.190067251255	157.190067251255	NA
458	2003	1	2	1886.28080701506	1886.28080701506	NA
460	2003	1	1	628.760269005019	628.760269005019	NA
463	2003	1	1	628.760269005019	628.760269005019	NA
473	2003	1	1	628.760269005019	628.760269005019	NA
476	2003	1	1	471.570201753764	471.570201753764	NA
477	2003	1	2	5030.08215204015	5030.08215204015	NA
479	2003	1	1	785.950336256273	785.950336256273	NA
480	2003	1	1	628.760269005019	628.760269005019	NA
483	2003	1	2	1257.52053801004	1257.52053801004	NA
485	2003	1	1	1257.52053801004	1257.52053801004	NA
489	2003	1	1	157.190067251255	157.190067251255	NA
490	2003	1	2	314.380134502509	314.380134502509	NA
492	2003	1	1	157.190067251255	157.190067251255	NA
493	2003	1	3	14775.8663216179	14775.8663216179	NA
494	2003	1	2	785.950336256273	785.950336256273	NA
495	2003	1	3	39297.5168128137	39297.5168128137	NA
497	2003	1	1	628.760269005019	628.760269005019	NA
498	2003	1	1	628.760269005019	628.760269005019	NA
499	2003	1	3	5658.84242104517	5658.84242104517	NA
501	2003	1	1	8173.88349706524	8173.88349706524	NA
504	2003	1	1	157.190067251255	157.190067251255	NA
507	2003	1	2	1414.71060526129	1414.71060526129	NA
510	2003	1	3	22006.6094151757	22006.6094151757	NA
511	2003	1	1	628.760269005019	628.760269005019	NA
512	2003	1	1	628.760269005019	628.760269005019	NA
514	2003	1	2	943.140403507528	943.140403507528	NA
516	2003	1	2	2515.04107602007	2515.04107602007	NA
517	2003	1	1	3143.80134502509	3143.80134502509	NA
518	2003	1	1	157.190067251255	157.190067251255	NA
