plot_id	year	period	height_class	number_of_tree_species	min_number_of_trees_ha	max_number_of_trees_ha	rubbing_damage_perc	subplot_id
101	2002	1	3000	3	785.950336256273	785.950336256273	NA	1
101	2002	1	5000	5	48414.5407133864	48414.5407133864	NA	1
102	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
102	2002	1	5000	2	7545.12322806022	7545.12322806022	NA	1
103	2002	1	3000	1	314.380134502509	314.380134502509	NA	1
103	2002	1	5000	2	5030.08215204015	5030.08215204015	NA	1
104	2002	1	3000	2	471.570201753764	471.570201753764	NA	1
104	2002	1	5000	2	52187.1023274165	52187.1023274165	NA	1
105	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
105	2002	1	5000	2	45899.4996373664	45899.4996373664	NA	1
106	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
106	2002	1	5000	4	6916.36295905521	6916.36295905521	NA	1
107	2002	1	5000	2	28294.2121052258	28294.2121052258	NA	1
108	2002	1	5000	2	42126.9380233363	42126.9380233363	NA	1
109	2002	1	3000	2	2043.47087426631	2043.47087426631	NA	1
109	2002	1	5000	2	12575.2053801004	12575.2053801004	NA	1
110	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
110	2002	1	5000	3	66019.828245527	66019.828245527	NA	1
111	2002	1	5000	1	1257.52053801004	1257.52053801004	NA	1
113	2002	1	3000	2	628.760269005019	628.760269005019	NA	1
113	2002	1	5000	3	2515.04107602007	2515.04107602007	NA	1
114	2002	1	3000	1	1729.0907397638	1729.0907397638	NA	1
114	2002	1	5000	1	628.760269005019	628.760269005019	NA	1
115	2002	1	5000	2	13203.9656491054	13203.9656491054	NA	1
116	2002	1	3000	2	628.760269005019	628.760269005019	NA	1
116	2002	1	5000	2	3143.80134502509	3143.80134502509	NA	1
117	2002	1	3000	4	1886.28080701506	1886.28080701506	NA	1
117	2002	1	5000	4	20749.0888771656	20749.0888771656	NA	1
118	2002	1	5000	4	8802.64376607026	8802.64376607026	NA	1
119	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
119	2002	1	5000	2	62876.0269005019	62876.0269005019	NA	1
120	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
120	2002	1	5000	2	62876.0269005019	62876.0269005019	NA	1
121	2002	1	5000	2	4401.32188303513	4401.32188303513	NA	1
122	2002	1	NA	0	0	0	NA	1
123	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
123	2002	1	5000	2	20749.0888771656	20749.0888771656	NA	1
124	2002	1	5000	2	63504.7871695069	63504.7871695069	NA	1
125	2002	1	3000	1	785.950336256273	785.950336256273	NA	1
125	2002	1	5000	4	3143.80134502509	3143.80134502509	NA	1
126	2002	1	5000	1	628.760269005019	628.760269005019	NA	1
127	2002	1	3000	2	314.380134502509	314.380134502509	NA	1
127	2002	1	5000	1	3143.80134502509	3143.80134502509	NA	1
128	2002	1	5000	3	18862.8080701506	18862.8080701506	NA	1
129	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
129	2002	1	5000	1	17605.2875321405	17605.2875321405	NA	1
130	2002	1	NA	0	0	0	NA	1
131	2002	1	5000	1	2515.04107602007	2515.04107602007	NA	1
132	2002	1	3000	3	943.140403507528	943.140403507528	NA	1
132	2002	1	5000	4	12575.2053801004	12575.2053801004	NA	1
133	2002	1	5000	1	1886.28080701506	1886.28080701506	NA	1
134	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
134	2002	1	5000	1	5030.08215204015	5030.08215204015	NA	1
135	2002	1	NA	0	0	0	NA	1
136	2002	1	3000	2	1100.33047075878	1100.33047075878	NA	1
136	2002	1	5000	3	67906.109052542	67906.109052542	NA	1
137	2002	1	3000	1	1886.28080701506	1886.28080701506	NA	1
137	2002	1	5000	1	3143.80134502509	3143.80134502509	NA	1
138	2002	1	5000	2	15090.2464561204	15090.2464561204	NA	1
139	2002	1	3000	1	157.190067251255	157.190067251255	NA	1
139	2002	1	5000	3	63504.7871695069	63504.7871695069	NA	1
140	2002	1	5000	1	1886.28080701506	1886.28080701506	NA	1
141	2002	1	5000	1	5030.08215204015	5030.08215204015	NA	1
142	2002	1	3000	2	471.570201753764	471.570201753764	NA	1
142	2002	1	5000	1	1257.52053801004	1257.52053801004	NA	1
143	2002	1	5000	1	5658.84242104517	5658.84242104517	NA	1
144	2002	1	3000	2	471.570201753764	471.570201753764	NA	1
144	2002	1	5000	2	1257.52053801004	1257.52053801004	NA	1
145	2002	1	3000	2	1100.33047075878	1100.33047075878	NA	1
145	2002	1	5000	3	40240.6572163212	40240.6572163212	NA	1
146	2002	1	5000	1	27036.6915672158	27036.6915672158	NA	1
147	2002	1	3000	3	1729.0907397638	1729.0907397638	NA	1
147	2002	1	5000	3	1886.28080701506	1886.28080701506	NA	1
148	2002	1	NA	0	0	0	NA	1
401	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
402	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
402	2003	1	5000	3	20749.0888771656	20749.0888771656	NA	1
403	2003	1	5000	3	1886.28080701506	1886.28080701506	NA	1
404	2003	1	5000	3	26407.9312982108	26407.9312982108	NA	1
405	2003	1	3000	1	314.380134502509	314.380134502509	NA	1
405	2003	1	5000	2	48414.5407133864	48414.5407133864	NA	1
406	2003	1	3000	3	471.570201753764	471.570201753764	NA	1
406	2003	1	5000	1	1886.28080701506	1886.28080701506	NA	1
407	2003	1	NA	0	0	0	NA	1
408	2003	1	NA	0	0	0	NA	1
409	2003	1	5000	2	4401.32188303513	4401.32188303513	NA	1
410	2003	1	5000	2	2515.04107602007	2515.04107602007	NA	1
411	2003	1	NA	0	0	0	NA	1
412	2003	1	NA	0	0	0	NA	1
413	2003	1	NA	0	0	0	NA	1
414	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
415	2003	1	5000	2	2515.04107602007	2515.04107602007	NA	1
416	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
417	2003	1	5000	2	1257.52053801004	1257.52053801004	NA	1
418	2003	1	3000	4	1571.90067251255	1571.90067251255	NA	1
418	2003	1	5000	6	5658.84242104517	5658.84242104517	NA	1
419	2003	1	5000	1	1257.52053801004	1257.52053801004	NA	1
420	2003	1	5000	3	18234.0478011455	18234.0478011455	NA	1
421	2003	1	NA	0	0	0	NA	1
422	2003	1	NA	0	0	0	NA	1
423	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
425	2003	1	NA	0	0	0	NA	1
427	2003	1	5000	1	44013.2188303513	44013.2188303513	NA	1
428	2003	1	5000	1	1886.28080701506	1886.28080701506	NA	1
429	2003	1	NA	0	0	0	NA	1
430	2003	1	NA	0	0	0	NA	1
431	2003	1	5000	1	1257.52053801004	1257.52053801004	NA	1
432	2003	1	NA	0	0	0	NA	1
433	2003	1	NA	0	0	0	NA	1
434	2003	1	NA	0	0	0	NA	1
435	2003	1	NA	0	0	0	NA	1
436	2003	1	NA	0	0	0	NA	1
437	2003	1	NA	0	0	0	NA	1
438	2003	1	NA	0	0	0	NA	1
439	2003	1	5000	1	33324.294257266	33324.294257266	NA	1
440	2003	1	NA	0	0	0	NA	1
441	2003	1	NA	0	0	0	NA	1
442	2003	1	NA	0	0	0	NA	1
443	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
444	2003	1	NA	0	0	0	NA	1
445	2003	1	5000	2	1257.52053801004	1257.52053801004	NA	1
446	2003	1	3000	2	1257.52053801004	1257.52053801004	NA	1
447	2003	1	NA	0	0	0	NA	1
448	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
448	2003	1	5000	3	10060.1643040803	10060.1643040803	NA	1
449	2003	1	3000	1	314.380134502509	314.380134502509	NA	1
449	2003	1	5000	2	22006.6094151757	22006.6094151757	NA	1
450	2003	1	NA	0	0	0	NA	1
451	2003	1	NA	0	0	0	NA	1
452	2003	1	NA	0	0	0	NA	1
453	2003	1	NA	0	0	0	NA	1
454	2003	1	5000	2	2515.04107602007	2515.04107602007	NA	1
455	2003	1	NA	0	0	0	NA	1
456	2003	1	5000	1	1257.52053801004	1257.52053801004	NA	1
457	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
458	2003	1	5000	2	1886.28080701506	1886.28080701506	NA	1
459	2003	1	NA	0	0	0	NA	1
460	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
461	2003	1	NA	0	0	0	NA	1
462	2003	1	NA	0	0	0	NA	1
463	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
464	2003	1	NA	0	0	0	NA	1
465	2003	1	NA	0	0	0	NA	1
466	2003	1	NA	0	0	0	NA	1
467	2003	1	NA	0	0	0	NA	1
468	2003	1	NA	0	0	0	NA	1
469	2003	1	NA	0	0	0	NA	1
470	2003	1	NA	0	0	0	NA	1
471	2003	1	NA	0	0	0	NA	1
472	2003	1	NA	0	0	0	NA	1
473	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
474	2003	1	NA	0	0	0	NA	1
475	2003	1	NA	0	0	0	NA	1
476	2003	1	3000	1	471.570201753764	471.570201753764	NA	1
477	2003	1	5000	2	5030.08215204015	5030.08215204015	NA	1
478	2003	1	NA	0	0	0	NA	1
479	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
479	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
480	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
481	2003	1	NA	0	0	0	NA	1
482	2003	1	NA	0	0	0	NA	1
483	2003	1	5000	2	1257.52053801004	1257.52053801004	NA	1
484	2003	1	NA	0	0	0	NA	1
485	2003	1	5000	1	1257.52053801004	1257.52053801004	NA	1
486	2003	1	NA	0	0	0	NA	1
487	2003	1	NA	0	0	0	NA	1
488	2003	1	NA	0	0	0	NA	1
489	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
490	2003	1	3000	2	314.380134502509	314.380134502509	NA	1
491	2003	1	NA	0	0	0	NA	1
492	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
493	2003	1	3000	1	314.380134502509	314.380134502509	NA	1
493	2003	1	5000	2	14461.4861871154	14461.4861871154	NA	1
494	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
494	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
495	2003	1	3000	1	943.140403507528	943.140403507528	NA	1
495	2003	1	5000	2	38354.3764093061	38354.3764093061	NA	1
496	2003	1	NA	0	0	0	NA	1
497	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
498	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
499	2003	1	5000	3	5658.84242104517	5658.84242104517	NA	1
500	2003	1	NA	0	0	0	NA	1
501	2003	1	5000	1	8173.88349706524	8173.88349706524	NA	1
502	2003	1	NA	0	0	0	NA	1
503	2003	1	NA	0	0	0	NA	1
504	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
505	2003	1	NA	0	0	0	NA	1
506	2003	1	NA	0	0	0	NA	1
507	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
507	2003	1	5000	1	1257.52053801004	1257.52053801004	NA	1
508	2003	1	NA	0	0	0	NA	1
509	2003	1	NA	0	0	0	NA	1
510	2003	1	5000	3	22006.6094151757	22006.6094151757	NA	1
511	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
512	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
513	2003	1	NA	0	0	0	NA	1
514	2003	1	3000	1	314.380134502509	314.380134502509	NA	1
514	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
515	2003	1	NA	0	0	0	NA	1
516	2003	1	5000	2	2515.04107602007	2515.04107602007	NA	1
517	2003	1	5000	1	3143.80134502509	3143.80134502509	NA	1
518	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
519	2003	1	NA	0	0	0	NA	1
520	2003	1	NA	0	0	0	NA	1
521	2003	1	5000	1	628.760269005019	628.760269005019	NA	1
522	2003	1	3000	1	157.190067251255	157.190067251255	NA	1
522	2003	1	5000	2	4401.32188303513	4401.32188303513	NA	1
523	2003	1	NA	0	0	0	NA	1
701	2003	1	1000	6	71049.9103975671	71049.9103975671	NA	1
