plot_id	year	period	moss_cover_min	moss_cover_max	herb_cover_min	herb_cover_max	shrub_cover_min	shrub_cover_max	tree_cover_min	tree_cover_max	waterlayer_cover_min	waterlayer_cover_max	soildisturbance_game_cover_min	soildisturbance_game_cover_max	number_of_species	cumm_herb_coverage_class_average_perc	cumulated_canopy_cover_min	cumulated_canopy_cover_max	subplot_id	moss_cover_mean	herb_cover_mean	shrub_cover_mean	tree_cover_mean	waterlayer_cover_mean	soildisturbance_game_cover_mean	cumulated_canopy_cover_mean
11000	2000	1	0	1	95	100	0	1	65	75	NA	NA	NA	NA	2	117.5	65	75.25	155511	0.5	97.5	0.5	70	NA	NA	70.15
11000	2000	1	1	3	95	100	0	1	85	95	NA	NA	NA	NA	3	105.5	85	95.05	155512	2	97.5	0.5	90	NA	NA	90.05
11000	2000	1	1	3	45	55	0	1	95	100	NA	NA	NA	NA	4	58.5	95	100	155513	2	50	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	95	100	0	1	55	65	NA	NA	NA	NA	2	110	55	65.35	155514	0.5	97.5	0.5	60	NA	NA	60.2
11000	2000	1	1	3	55	65	0	1	75	85	NA	NA	NA	NA	3	58	75	85.15	155515	2	60	0.5	80	NA	NA	80.1
11000	2000	1	1	3	95	100	0	1	85	95	NA	NA	NA	NA	2	94	85	95.05	155521	2	97.5	0.5	90	NA	NA	90.05
11000	2000	1	1	3	95	100	0	1	75	85	NA	NA	NA	NA	2	94	75	85.15	155522	2	97.5	0.5	80	NA	NA	80.1
11000	2000	1	3	5	95	100	0	1	35	45	NA	NA	NA	NA	6	99.5	35	45.55	155523	4	97.5	0.5	40	NA	NA	40.3
11000	2000	1	1	3	95	100	0	1	10	15	NA	NA	NA	NA	4	102	10	15.85	155524	2	97.5	0.5	12.5	NA	NA	12.9375
11000	2000	1	10	15	65	75	0	1	65	75	NA	NA	NA	NA	7	66.5	65	75.25	155525	12.5	70	0.5	70	NA	NA	70.15
11000	2000	1	1	3	25	35	0	1	95	100	NA	NA	NA	NA	4	25	95	100	155531	2	30	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	35	45	0	1	85	95	NA	NA	NA	NA	3	38	85	95.05	155532	2	40	0.5	90	NA	NA	90.05
11000	2000	1	0	1	95	100	0	1	25	35	NA	NA	NA	NA	4	118.5	25	35.65	155533	0.5	97.5	0.5	30	NA	NA	30.35
11000	2000	1	3	5	85	95	0	1	NA	NA	NA	NA	NA	NA	9	96	NA	NA	155534	4	90	0.5	NA	NA	NA	NA
11000	2000	1	1	3	85	95	0	1	55	65	NA	NA	NA	NA	6	104.5	55	65.35	155535	2	90	0.5	60	NA	NA	60.2
11000	2000	1	1	3	15	25	0	1	85	95	NA	NA	NA	NA	6	22.5	85	95.05	155541	2	20	0.5	90	NA	NA	90.05
11000	2000	1	1	3	75	85	0	1	85	95	NA	NA	NA	NA	4	85	85	95.05	155542	2	80	0.5	90	NA	NA	90.05
11000	2000	1	1	3	95	100	0	1	5	10	NA	NA	NA	NA	6	103.5	5	10.9	155543	2	97.5	0.5	7.5	NA	NA	7.9625
11000	2000	1	3	5	95	100	0	1	NA	NA	NA	NA	NA	NA	9	105	NA	NA	155544	4	97.5	0.5	NA	NA	NA	NA
11000	2000	1	5	10	95	100	0	1	35	45	NA	NA	NA	NA	6	92.5	35	45.55	155545	7.5	97.5	0.5	40	NA	NA	40.3
11000	2000	1	1	3	1	3	0	1	95	100	NA	NA	NA	NA	1	4	95	100	155551	2	2	0.5	97.5	NA	NA	97.5125
11000	2000	1	10	15	35	45	0	1	85	95	NA	NA	NA	NA	4	35	85	95.05	155552	12.5	40	0.5	90	NA	NA	90.05
11000	2000	1	1	3	25	35	0	1	85	95	NA	NA	NA	NA	2	24	85	95.05	155553	2	30	0.5	90	NA	NA	90.05
11000	2000	1	5	10	95	100	0	1	15	25	NA	NA	NA	NA	8	97	15	25.75	155554	7.5	97.5	0.5	20	NA	NA	20.4
11000	2000	1	5	10	95	100	0	1	NA	NA	NA	NA	NA	NA	4	91.5	NA	NA	155555	7.5	97.5	0.5	NA	NA	NA	NA
11000	2000	1	1	3	65	75	0	1	55	65	NA	NA	NA	NA	9	77	55	65.35	156011	2	70	0.5	60	NA	NA	60.2
11000	2000	1	1	3	95	100	0	1	5	10	NA	NA	NA	NA	11	108	5	10.9	156012	2	97.5	0.5	7.5	NA	NA	7.9625
11000	2000	1	1	3	95	100	0	1	5	10	NA	NA	NA	NA	6	112	5	10.9	156013	2	97.5	0.5	7.5	NA	NA	7.9625
11000	2000	1	1	3	95	100	0	1	45	55	NA	NA	NA	NA	9	117	45	55.45	156014	2	97.5	0.5	50	NA	NA	50.25
11000	2000	1	1	3	95	100	0	1	75	85	NA	NA	NA	NA	7	126	75	85.15	156015	2	97.5	0.5	80	NA	NA	80.1
11000	2000	1	3	5	15	25	0	1	85	95	NA	NA	NA	NA	3	12	85	95.05	156021	4	20	0.5	90	NA	NA	90.05
11000	2000	1	1	3	95	100	0	1	95	100	NA	NA	NA	NA	3	110.5	95	100	156022	2	97.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	85	95	0	1	75	85	NA	NA	NA	NA	4	101	75	85.15	156023	2	90	0.5	80	NA	NA	80.1
11000	2000	1	1	3	55	65	0	1	95	100	NA	NA	NA	NA	7	56	95	100	156024	2	60	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	15	25	0	1	95	100	NA	NA	NA	NA	6	18.5	95	100	156025	2	20	0.5	97.5	NA	NA	97.5125
11000	2000	1	5	10	85	95	0	1	75	85	NA	NA	NA	NA	4	98.5	75	85.15	156031	7.5	90	0.5	80	NA	NA	80.1
11000	2000	1	5	10	95	100	0	1	95	100	NA	NA	NA	NA	3	105.5	95	100	156032	7.5	97.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	3	5	95	100	0	1	95	100	NA	NA	NA	NA	7	112.5	95	100	156033	4	97.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	3	5	85	95	0	1	85	95	NA	NA	NA	NA	8	103	85	95.05	156034	4	90	0.5	90	NA	NA	90.05
11000	2000	1	0	1	85	95	0	1	35	45	NA	NA	NA	NA	3	100.5	35	45.55	156035	0.5	90	0.5	40	NA	NA	40.3
11000	2000	1	5	10	95	100	0	1	45	55	NA	NA	NA	NA	5	104	45	55.45	156041	7.5	97.5	0.5	50	NA	NA	50.25
11000	2000	1	10	15	95	100	0	1	35	45	NA	NA	NA	NA	6	104.5	35	45.55	156042	12.5	97.5	0.5	40	NA	NA	40.3
11000	2000	1	3	5	95	100	0	1	55	65	NA	NA	NA	NA	7	112.5	55	65.35	156043	4	97.5	0.5	60	NA	NA	60.2
11000	2000	1	1	3	55	65	0	1	75	85	NA	NA	NA	NA	8	47.5	75	85.15	156044	2	60	0.5	80	NA	NA	80.1
11000	2000	1	0	1	15	25	0	1	75	85	NA	NA	NA	NA	8	26.5	75	85.15	156045	0.5	20	0.5	80	NA	NA	80.1
11000	2000	1	0	1	95	100	0	1	0	1	NA	NA	NA	NA	9	101	0	1.99	156051	0.5	97.5	0.5	0.5	NA	NA	0.997499999999996
11000	2000	1	5	10	85	95	0	1	NA	NA	NA	NA	NA	NA	16	84.5	NA	NA	156052	7.5	90	0.5	NA	NA	NA	NA
11000	2000	1	3	5	95	100	0	1	75	85	NA	NA	NA	NA	14	104	75	85.15	156053	4	97.5	0.5	80	NA	NA	80.1
11000	2000	1	3	5	15	25	0	1	85	95	NA	NA	NA	NA	6	22.5	85	95.05	156054	4	20	0.5	90	NA	NA	90.05
11000	2000	1	1	3	5	10	0	1	75	85	NA	NA	NA	NA	8	7.5	75	85.15	156055	2	7.5	0.5	80	NA	NA	80.1
11000	2000	1	0	1	NA	NA	0	1	NA	NA	NA	NA	NA	NA	6	115.5	NA	NA	156511	0.5	NA	0.5	NA	NA	NA	NA
11000	2000	1	1	3	45	55	0	1	85	95	NA	NA	NA	NA	9	43.5	85	95.05	156512	2	50	0.5	90	NA	NA	90.05
11000	2000	1	5	10	35	45	0	1	55	65	NA	NA	NA	NA	13	29.5	55	65.35	156513	7.5	40	0.5	60	NA	NA	60.2
11000	2000	1	10	15	45	55	0	1	NA	NA	NA	NA	NA	NA	15	39	NA	NA	156514	12.5	50	0.5	NA	NA	NA	NA
11000	2000	1	1	3	45	55	0	1	35	45	NA	NA	NA	NA	10	34.5	35	45.55	156515	2	50	0.5	40	NA	NA	40.3
11000	2000	1	0	1	15	25	0	1	55	65	NA	NA	NA	NA	7	112.5	55	65.35	156521	0.5	20	0.5	60	NA	NA	60.2
11000	2000	1	1	3	95	100	0	1	55	65	NA	NA	NA	NA	6	112	55	65.35	156522	2	97.5	0.5	60	NA	NA	60.2
11000	2000	1	3	5	85	95	0	1	25	35	NA	NA	NA	NA	13	112.5	25	35.65	156523	4	90	0.5	30	NA	NA	30.35
11000	2000	1	0	1	75	85	0	1	35	45	NA	NA	NA	NA	13	86	35	45.55	156524	0.5	80	0.5	40	NA	NA	40.3
11000	2000	1	10	15	1	3	0	1	95	100	NA	NA	NA	NA	5	6	95	100	156525	12.5	2	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	95	100	0	1	85	95	NA	NA	NA	NA	6	99.5	85	95.05	156531	0.5	97.5	0.5	90	NA	NA	90.05
11000	2000	1	1	3	95	100	0	1	95	100	NA	NA	NA	NA	2	105	95	100	156532	2	97.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	95	100	0	1	75	85	NA	NA	NA	NA	4	111	75	85.15	156533	0.5	97.5	0.5	80	NA	NA	80.1
11000	2000	1	3	5	15	25	0	1	75	85	NA	NA	NA	NA	5	21.5	75	85.15	156534	4	20	0.5	80	NA	NA	80.1
11000	2000	1	5	10	3	5	0	1	75	85	NA	NA	NA	NA	2	4.5	75	85.15	156535	7.5	4	0.5	80	NA	NA	80.1
11000	2000	1	1	3	55	65	0	1	55	65	NA	NA	NA	NA	9	91	55	65.35	156541	2	60	0.5	60	NA	NA	60.2
11000	2000	1	10	15	75	85	0	1	35	45	NA	NA	NA	NA	10	78	35	45.55	156542	12.5	80	0.5	40	NA	NA	40.3
11000	2000	1	3	5	35	45	0	1	45	55	NA	NA	NA	NA	8	37	45	55.45	156543	4	40	0.5	50	NA	NA	50.25
11000	2000	1	1	3	1	3	0	1	95	100	NA	NA	NA	NA	1	0.5	95	100	156544	2	2	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	1	3	0	1	95	100	NA	NA	NA	NA	2	1	95	100	156545	2	2	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	10	15	0	1	95	100	NA	NA	NA	NA	3	8.5	95	100	156551	0.5	12.5	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	15	25	0	1	85	95	NA	NA	NA	NA	9	18.5	85	95.05	156552	2	20	0.5	90	NA	NA	90.05
11000	2000	1	3	5	25	35	0	1	45	55	NA	NA	NA	NA	11	36.5	45	55.45	156553	4	30	0.5	50	NA	NA	50.25
11000	2000	1	1	3	1	3	0	1	95	100	NA	NA	NA	NA	3	1.5	95	100	156554	2	2	0.5	97.5	NA	NA	97.5125
11000	2000	1	3	5	95	100	0	1	NA	NA	NA	NA	NA	NA	6	100	NA	NA	205511	4	97.5	0.5	NA	NA	NA	NA
11000	2000	1	3	5	95	100	0	1	NA	NA	NA	NA	NA	NA	5	99.5	NA	NA	205512	4	97.5	0.5	NA	NA	NA	NA
11000	2000	1	3	5	95	100	0	1	NA	NA	NA	NA	NA	NA	5	99.5	NA	NA	205513	4	97.5	0.5	NA	NA	NA	NA
11000	2000	1	3	5	75	85	0	1	15	25	NA	NA	NA	NA	4	81.5	15	25.75	205514	4	80	0.5	20	NA	NA	20.4
11000	2000	1	3	5	75	85	0	1	25	35	NA	NA	NA	NA	2	70.5	25	35.65	205515	4	80	0.5	30	NA	NA	30.35
11000	2000	1	1	3	95	100	0	1	10	15	NA	NA	NA	NA	4	91.5	10	15.85	205521	2	97.5	0.5	12.5	NA	NA	12.9375
11000	2000	1	1	3	95	100	0	1	10	15	NA	NA	NA	NA	2	98	10	15.85	205522	2	97.5	0.5	12.5	NA	NA	12.9375
11000	2000	1	3	5	95	100	0	1	5	10	NA	NA	NA	NA	2	90.5	5	10.9	205523	4	97.5	0.5	7.5	NA	NA	7.9625
11000	2000	1	1	3	95	100	0	1	10	15	NA	NA	NA	NA	3	105.5	10	15.85	205524	2	97.5	0.5	12.5	NA	NA	12.9375
11000	2000	1	1	3	85	95	0	1	NA	NA	NA	NA	NA	NA	7	86.5	NA	NA	205525	2	90	0.5	NA	NA	NA	NA
11000	2000	1	1	3	95	100	0	1	15	25	NA	NA	NA	NA	1	97.5	15	25.75	205531	2	97.5	0.5	20	NA	NA	20.4
11000	2000	1	3	5	85	95	0	1	15	25	NA	NA	NA	NA	2	90.5	15	25.75	205532	4	90	0.5	20	NA	NA	20.4
11000	2000	1	0	1	75	85	0	1	55	65	NA	NA	NA	NA	1	80	55	65.35	205533	0.5	80	0.5	60	NA	NA	60.2
11000	2000	1	3	5	95	100	0	1	15	25	NA	NA	NA	NA	1	97.5	15	25.75	205534	4	97.5	0.5	20	NA	NA	20.4
11000	2000	1	3	5	95	100	0	1	10	15	NA	NA	NA	NA	4	99	10	15.85	205535	4	97.5	0.5	12.5	NA	NA	12.9375
11000	2000	1	0	1	95	100	0	1	85	95	NA	NA	NA	NA	1	97.5	85	95.05	205541	0.5	97.5	0.5	90	NA	NA	90.05
11000	2000	1	5	10	85	95	0	1	75	85	NA	NA	NA	NA	2	90.5	75	85.15	205542	7.5	90	0.5	80	NA	NA	80.1
11000	2000	1	1	3	85	95	0	1	85	95	NA	NA	NA	NA	1	90	85	95.05	205543	2	90	0.5	90	NA	NA	90.05
11000	2000	1	5	10	85	95	0	1	85	95	NA	NA	NA	NA	1	90	85	95.05	205544	7.5	90	0.5	90	NA	NA	90.05
11000	2000	1	3	5	75	85	0	1	95	100	NA	NA	NA	NA	2	80.5	95	100	205545	4	80	0.5	97.5	NA	NA	97.5125
11000	2000	1	1	3	95	100	0	1	65	75	NA	NA	NA	NA	3	94.5	65	75.25	205551	2	97.5	0.5	70	NA	NA	70.15
11000	2000	1	1	3	95	100	0	1	85	95	NA	NA	NA	NA	4	99	85	95.05	205552	2	97.5	0.5	90	NA	NA	90.05
11000	2000	1	1	3	85	95	0	1	75	85	NA	NA	NA	NA	2	90.5	75	85.15	205553	2	90	0.5	80	NA	NA	80.1
11000	2000	1	1	3	95	100	0	1	85	95	NA	NA	NA	NA	3	102	85	95.05	205554	2	97.5	0.5	90	NA	NA	90.05
11000	2000	1	1	3	85	95	0	1	85	95	NA	NA	NA	NA	1	90	85	95.05	205555	2	90	0.5	90	NA	NA	90.05
11000	2000	1	5	10	75	85	0	1	85	95	NA	NA	NA	NA	2	80.5	85	95.05	206011	7.5	80	0.5	90	NA	NA	90.05
11000	2000	1	3	5	85	95	0	1	85	95	NA	NA	NA	NA	2	90.5	85	95.05	206012	4	90	0.5	90	NA	NA	90.05
11000	2000	1	3	5	65	75	0	1	85	95	NA	NA	NA	NA	2	64	85	95.05	206013	4	70	0.5	90	NA	NA	90.05
11000	2000	1	1	3	65	75	0	1	95	100	NA	NA	NA	NA	3	71	95	100	206014	2	70	0.5	97.5	NA	NA	97.5125
11000	2000	1	0	1	75	85	0	1	75	85	NA	NA	NA	NA	5	79	75	85.15	206015	0.5	80	0.5	80	NA	NA	80.1
11000	2000	1	10	15	55	65	0	1	5	10	NA	NA	NA	NA	6	69.5	5	10.9	206021	12.5	60	0.5	7.5	NA	NA	7.9625
11000	2000	1	15	25	55	65	0	1	25	35	NA	NA	NA	NA	10	68	25	35.65	206022	20	60	0.5	30	NA	NA	30.35
11000	2000	1	15	25	55	65	0	1	35	45	NA	NA	NA	NA	8	67	35	45.55	206023	20	60	0.5	40	NA	NA	40.3
11000	2000	1	5	10	95	100	0	1	85	95	NA	NA	NA	NA	5	92.5	85	95.05	206024	7.5	97.5	0.5	90	NA	NA	90.05
11000	2000	1	5	10	75	85	0	1	85	95	NA	NA	NA	NA	6	73	85	95.05	206025	7.5	80	0.5	90	NA	NA	90.05
11000	2000	1	1	3	85	95	0	1	NA	NA	NA	NA	NA	NA	4	91.5	NA	NA	206031	2	90	0.5	NA	NA	NA	NA
11000	2000	1	10	15	75	85	0	1	NA	NA	NA	NA	NA	NA	6	86	NA	NA	206032	12.5	80	0.5	NA	NA	NA	NA
11000	2000	1	15	25	65	75	0	1	25	35	NA	NA	NA	NA	5	65.5	25	35.65	206033	20	70	0.5	30	NA	NA	30.35
11000	2000	1	5	10	85	95	0	1	85	95	NA	NA	NA	NA	7	100.5	85	95.05	206034	7.5	90	0.5	90	NA	NA	90.05
11000	2000	1	1	3	55	65	0	1	85	95	NA	NA	NA	NA	9	61.5	85	95.05	206035	2	60	0.5	90	NA	NA	90.05
11000	2000	1	1	3	95	100	0	1	75	85	NA	NA	NA	NA	4	102.5	75	85.15	206041	2	97.5	0.5	80	NA	NA	80.1
11000	2000	1	3	5	95	100	0	1	15	25	NA	NA	NA	NA	10	101.5	15	25.75	206042	4	97.5	0.5	20	NA	NA	20.4
11000	2000	1	1	3	95	100	0	1	75	85	NA	NA	NA	NA	6	115.5	75	85.15	206043	2	97.5	0.5	80	NA	NA	80.1
11000	2000	1	3	5	85	95	0	1	15	25	NA	NA	NA	NA	8	95.5	15	25.75	206044	4	90	0.5	20	NA	NA	20.4
11000	2000	1	1	3	95	100	0	1	10	15	NA	NA	NA	NA	8	110	10	15.85	206045	2	97.5	0.5	12.5	NA	NA	12.9375
11000	2000	1	1	3	95	100	0	1	35	45	NA	NA	NA	NA	4	95	35	45.55	206051	2	97.5	0.5	40	NA	NA	40.3
11000	2000	1	1	3	75	85	0	1	75	85	NA	NA	NA	NA	5	79	75	85.15	206052	2	80	0.5	80	NA	NA	80.1
11000	2000	1	1	3	95	100	0	1	65	75	NA	NA	NA	NA	4	114.5	65	75.25	206053	2	97.5	0.5	70	NA	NA	70.15
11000	2000	1	3	5	95	100	0	1	45	55	NA	NA	NA	NA	7	105	45	55.45	206054	4	97.5	0.5	50	NA	NA	50.25
11000	2000	1	10	15	95	100	0	1	35	45	NA	NA	NA	NA	9	96	35	45.55	206055	12.5	97.5	0.5	40	NA	NA	40.3
11000	2000	1	5	10	85	95	0	1	75	85	NA	NA	NA	NA	11	101	75	85.15	206511	7.5	90	0.5	80	NA	NA	80.1
11000	2000	1	5	10	75	85	0	1	75	85	NA	NA	NA	NA	11	96.5	75	85.15	206512	7.5	80	0.5	80	NA	NA	80.1
